,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (5, 19) distance travelled","Robot (5, 19) idle time","Robot (5, 19) waiting time","Robot (16, 15) distance travelled","Robot (16, 15) idle time","Robot (16, 15) waiting time","Robot (4, 16) distance travelled","Robot (4, 16) idle time","Robot (4, 16) waiting time"
103,104,0.012170396937884704,6.012298320756473e-06,39,6.467348927875244,4.0,251,58,0,77,26,0,90,13,0,84,19,0
104,105,0.012170396937884704,6.012298320756473e-06,39,6.467348927875244,4.0,254,58,0,78,26,0,91,13,0,85,19,0
105,106,0.012098021062480408,5.415633729368044e-06,40,6.495126705653021,4.0,256,59,0,79,26,0,91,14,0,86,19,0
106,107,0.012101899361002255,5.199687544974151e-06,41,6.387719298245614,4.0,258,60,0,79,27,0,92,14,0,87,19,0
107,108,0.012087578934974166,4.748366772272702e-06,43,6.273809523809523,4.0,259,62,0,80,27,0,92,15,0,87,20,0
108,109,0.012087578934974166,4.748366772272702e-06,43,6.273809523809523,4.0,262,62,0,81,27,0,93,15,0,88,20,0
109,110,0.01205001801883182,4.140987685036005e-06,45,5.971212121212122,4.0,263,64,0,81,28,0,93,16,0,89,20,0
110,111,0.01205001801883182,4.140987685036005e-06,45,5.971212121212122,4.0,266,64,0,82,28,0,94,16,0,90,20,0
111,112,0.012043696081312371,3.938282695385906e-06,46,5.862878787878787,4.0,268,65,0,83,28,0,94,17,0,91,20,0
112,113,0.012043696081312371,3.938282695385906e-06,46,5.862878787878787,5.0,271,65,0,84,28,0,95,17,0,92,20,0
113,114,0.012010151094932866,3.7761248273466263e-06,47,5.76729055258467,5.0,273,66,0,85,28,0,95,18,0,93,20,0
114,115,0.01200698278421285,3.437493069046678e-06,48,5.673856209150327,5.0,275,67,0,85,29,0,96,18,0,94,20,0
115,116,0.011997872044597457,3.3951840507316388e-06,49,5.588888888888889,5.0,277,68,0,86,29,0,96,19,0,95,20,0
116,117,0.011997872044597457,3.3951840507316388e-06,49,5.588888888888889,5.0,280,68,0,87,29,0,97,19,0,96,20,0
117,118,0.011997872044597457,3.3951840507316388e-06,49,5.588888888888889,5.0,283,68,0,88,29,0,98,19,0,97,20,0
118,119,0.011997872044597457,3.3951840507316388e-06,49,5.588888888888889,5.0,286,68,0,89,29,0,99,19,0,98,20,0
